"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"nativeonestop.gov","nativeonestop.gov","https://nativeonestop.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"navycash.gov","navycash.gov","https://navycash.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nbc.gov","nbc.gov","https://www.nbc.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nbib.gov","nbib.gov","https://nbib.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nbm.gov","nbm.gov","https://nbm.gov","Federal Communications Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nbrc.gov","nbrc.gov","http://www.nbrc.gov","Northern Border Regional Commission","dotgov","No","No","No","","","","","","No"
"nccs.gov","nccs.gov","https://www.nccs.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncd.gov","ncd.gov","https://ncd.gov","National Council on Disability","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ncifcrf.gov","ncifcrf.gov","https://ncifcrf.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncirc.gov","ncirc.gov","https://www.ncirc.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncjrs.gov","ncjrs.gov","https://www.ncjrs.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncpc.gov","ncpc.gov","https://ncpc.gov","National Capital Planning Commission","dotgov","No","No","No","","","","","","Yes"
"ncrc.gov","ncrc.gov","https://www.ncrc.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ncsc.gov","ncsc.gov","http://ncsc.gov","Director of National Intelligence","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"nctc.gov","nctc.gov","http://nctc.gov","Central Intelligence Agency","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ncua.gov","ncua.gov","https://www.ncua.gov","National Credit Union Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nea.gov","nea.gov","http://nea.gov","National Endowment for the Arts","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"neglecteddiseases.gov","neglecteddiseases.gov","https://www.neglecteddiseases.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"neh.gov","neh.gov","https://www.neh.gov","National Endowment for the Humanities","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nehrp.gov","nehrp.gov","https://nehrp.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
