"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"usagm.gov","usagm.gov","https://www.usagm.gov","Broadcasting Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usagov.gov","usagov.gov","https://usagov.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usaid.gov","usaid.gov","https://usaid.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usajobs.gov","usajobs.gov","https://www.usajobs.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usalearning.gov","usalearning.gov","https://usalearning.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usap.gov","usap.gov","https://www.usap.gov","National Science Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usaseanconnect.gov","usaseanconnect.gov","http://www.usaseanconnect.gov","Department of State","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"usaspending.gov","usaspending.gov","https://www.usaspending.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usastaffing.gov","usastaffing.gov","https://usastaffing.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usbr.gov","usbr.gov","https://usbr.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usccr.gov","usccr.gov","https://www.usccr.gov","U.S. Commission on Civil Rights","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"uscg.gov","uscg.gov","http://uscg.gov","Department of Homeland Security","dotgov","","","","","","","","","No"
"uscirf.gov","uscirf.gov","https://www.uscirf.gov","U.S. Commission on International Religious Freedom","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"uscis.gov","uscis.gov","https://www.uscis.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usconsulate.gov","usconsulate.gov","http://usconsulate.gov","Department of State","dotgov","","","","","","","","","No"
"uscurrency.gov","uscurrency.gov","https://www.uscurrency.gov","Federal Reserve Board of Governors","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"usda.gov","usda.gov","https://www.usda.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usdebitcard.gov","usdebitcard.gov","https://www.usdebitcard.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"usdigitalservice.gov","usdigitalservice.gov","http://usdigitalservice.gov","Executive Office of the President","dotgov","No","Yes","No","Yes","No","No","No","No","Ready"
"usdoj.gov","usdoj.gov","https://usdoj.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usds.gov","usds.gov","https://www.usds.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usembassy.gov","usembassy.gov","https://www.usembassy.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"userra.gov","userra.gov","https://userra.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usgcrp.gov","usgcrp.gov","http://usgcrp.gov","United States Global Change Research Program","dotgov","No","No","No","","","","","","No"
"usgs.gov","usgs.gov","https://www.usgs.gov","Department of the Interior","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"usich.gov","usich.gov","https://www.usich.gov","United States Interagency Council on Homelessness","dotgov","No","Yes","No","No","No","Yes","No","No","No"
"usip.gov","usip.gov","http://usip.gov","United States Institute of Peace","dotgov","No","No","No","","","","","","No"
"usitc.gov","usitc.gov","https://www.usitc.gov","United States International Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usmarshals.gov","usmarshals.gov","https://www.usmarshals.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usmint.gov","usmint.gov","https://www.usmint.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usmission.gov","usmission.gov","http://www.usmission.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usphs.gov","usphs.gov","https://usphs.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"uspis.gov","uspis.gov","https://www.uspis.gov","United States Postal Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usps.gov","usps.gov","https://www.usps.gov","United States Postal Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"uspsinnovates.gov","uspsinnovates.gov","http://www.uspsinnovates.gov","United States Postal Service","dotgov","No","No","No","","","","","","No"
"uspsoig.gov","uspsoig.gov","http://www.uspsoig.gov","United States Postal Service, Office of Inspector General","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"uspto.gov","uspto.gov","https://www.uspto.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ussm.gov","ussm.gov","https://www.ussm.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usss.gov","usss.gov","http://usss.gov","Department of Homeland Security","dotgov","","","","","","","","","No"
"ustda.gov","ustda.gov","https://ustda.gov","United States Trade and Development Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ustr.gov","ustr.gov","https://ustr.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ustreas.gov","ustreas.gov","https://ustreas.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"utahfireinfo.gov","utahfireinfo.gov","https://utahfireinfo.gov","Department of the Interior","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"va.gov","va.gov","https://www.va.gov","Department of Veterans Affairs","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"vaccines.gov","vaccines.gov","https://www.vaccines.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"vcf.gov","vcf.gov","https://www.vcf.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"vehiclehistory.gov","vehiclehistory.gov","https://www.vehiclehistory.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"veterans.gov","veterans.gov","https://www.veterans.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"vets.gov","vets.gov","https://vets.gov","Department of Veterans Affairs","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"vistacampus.gov","vistacampus.gov","https://vistacampus.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"voa.gov","voa.gov","http://voa.gov","Broadcasting Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"volcano.gov","volcano.gov","https://volcano.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"volunteer.gov","volunteer.gov","https://www.volunteer.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"volunteeringinamerica.gov","volunteeringinamerica.gov","http://volunteeringinamerica.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"vote.gov","vote.gov","https://vote.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"votebymail.gov","votebymail.gov","http://www.votebymail.gov","Election Assistance Commission","dotgov","No","No","No","","","","","","No"
"wapa.gov","wapa.gov","https://www.wapa.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"wartimecontracting.gov","wartimecontracting.gov","https://wartimecontracting.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"watermonitor.gov","watermonitor.gov","https://watermonitor.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"wdol.gov","wdol.gov","https://wdol.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"weather.gov","weather.gov","https://www.weather.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"webharvest.gov","webharvest.gov","https://www.webharvest.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"wgdp.gov","wgdp.gov","https://wgdp.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"wh.gov","wh.gov","https://wh.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"whaging.gov","whaging.gov","http://whaging.gov","Department of Health and Human Services","dotgov","","","","","","","","","No"
"whistleblower.gov","whistleblower.gov","https://whistleblower.gov","Commodity Futures Trading Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"whistleblowers.gov","whistleblowers.gov","https://www.whistleblowers.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"whitehouse.gov","whitehouse.gov","https://www.whitehouse.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"whitehouseconferenceonaging.gov","whitehouseconferenceonaging.gov","https://whitehouseconferenceonaging.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"whitehousedrugpolicy.gov","whitehousedrugpolicy.gov","https://whitehousedrugpolicy.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"wildlifeadaptationstrategy.gov","wildlifeadaptationstrategy.gov","https://wildlifeadaptationstrategy.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"wizard.gov","wizard.gov","https://wizard.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"wlci.gov","wlci.gov","https://www.wlci.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"womenshealth.gov","womenshealth.gov","https://www.womenshealth.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"worker.gov","worker.gov","https://www.worker.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"workplace.gov","workplace.gov","https://www.workplace.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"worldwar1centennial.gov","worldwar1centennial.gov","http://www.worldwar1centennial.gov","The United States World War One Centennial Commission","dotgov","No","No","No","Yes","No","No","No","No","No"
"wrp.gov","wrp.gov","https://www.wrp.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"xd.gov","xd.gov","https://xd.gov","Department of Commerce","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"youth.gov","youth.gov","https://youth.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"youthrules.gov","youthrules.gov","https://www.youthrules.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
